flight_date,scheduled_flights,arr_delay_rate,cancellation_rate,avg_arr_delay_min,weather_delay_min,nas_delay_min,carrier_delay_min,late_aircraft_delay_min
2025-08-01,21454,0.36941,0.04055,23.289,34706.0,89307.0,192378.0,247583.0
2025-08-02,19026,0.29033,0.01782,15.583,9507.0,73895.0,141968.0,166739.0
2025-08-03,21227,0.28647,0.01272,14.33,20688.0,64070.0,135966.0,193781.0
2025-08-04,21364,0.24675,0.00707,10.759,28826.0,50041.0,114400.0,173813.0
2025-08-05,18973,0.14317,0.00295,0.031,8898.0,21931.0,69272.0,73784.0
2025-08-06,18645,0.18568,0.01051,6.742,8176.0,42250.0,131211.0,90611.0
2025-08-07,21031,0.22717,0.00927,8.572,16934.0,36693.0,117575.0,146499.0
2025-08-08,20723,0.18391,0.00328,5.273,11060.0,39758.0,99959.0,114339.0
2025-08-09,17860,0.23852,0.00342,9.595,13930.0,65267.0,101371.0,116002.0
2025-08-10,20939,0.31187,0.00745,16.337,19029.0,96338.0,136372.0,198217.0
2025-08-11,20587,0.201,0.00253,7.084,13624.0,36857.0,115136.0,130031.0
2025-08-12,18297,0.20421,0.01082,9.159,33054.0,74537.0,90553.0,110361.0
2025-08-13,18364,0.24275,0.03752,13.571,29781.0,116143.0,100624.0,112061.0
2025-08-14,20817,0.26559,0.00677,14.572,20564.0,97534.0,127800.0,178598.0
2025-08-15,20470,0.24788,0.00254,11.812,22844.0,63480.0,134147.0,157841.0
2025-08-16,17552,0.22098,0.01715,9.687,37439.0,63197.0,101532.0,100260.0
2025-08-17,20699,0.28,0.02097,16.992,52191.0,92970.0,141822.0,174883.0
2025-08-18,20396,0.27373,0.03368,16.085,54178.0,96312.0,133728.0,151613.0
2025-08-19,17886,0.19902,0.00827,5.48,22893.0,36936.0,87786.0,94125.0
2025-08-20,18016,0.23213,0.0101,13.032,45545.0,74966.0,87867.0,157233.0
2025-08-21,20618,0.23491,0.00141,8.306,11352.0,73409.0,96670.0,129319.0
2025-08-22,20367,0.23617,0.00133,8.616,20205.0,67117.0,91282.0,142603.0
2025-08-23,16892,0.19699,0.00148,5.467,10703.0,53053.0,74162.0,94382.0
2025-08-24,20592,0.21026,0.00194,5.817,5812.0,45726.0,95891.0,117662.0
2025-08-25,19953,0.17796,0.00246,3.357,9985.0,43434.0,80976.0,95474.0
2025-08-26,17280,0.11303,0.00255,-2.399,11293.0,27346.0,58755.0,46870.0
2025-08-27,17749,0.12888,0.00051,-2.168,5066.0,37404.0,53084.0,41601.0
2025-08-28,20215,0.20171,0.01628,7.568,34485.0,70333.0,81738.0,110705.0
2025-08-29,20329,0.22717,0.00762,7.488,8530.0,53771.0,101849.0,113960.0
2025-08-30,16343,0.18837,0.02331,9.18,50774.0,52769.0,76132.0,110226.0
2025-08-31,17714,0.16368,0.00841,2.414,13980.0,30519.0,82353.0,85695.0
2025-09-01,20157,0.17831,0.00466,3.808,10819.0,36020.0,81515.0,122031.0
2025-09-02,17469,0.13825,0.00155,-0.856,7442.0,25728.0,59775.0,54376.0
2025-09-03,17098,0.09496,0.00047,-5.203,4763.0,17006.0,46335.0,27791.0
2025-09-04,19130,0.18834,0.01035,6.192,28406.0,94979.0,70172.0,86929.0
2025-09-05,19427,0.19378,0.00417,3.928,13590.0,55544.0,77352.0,87075.0
2025-09-06,15908,0.18367,0.01748,8.036,34261.0,79494.0,69463.0,80392.0
2025-09-07,19930,0.19644,0.00346,5.269,8530.0,48223.0,91029.0,109018.0
2025-09-08,19687,0.14286,0.00264,0.645,17914.0,31570.0,70484.0,70707.0
2025-09-09,17116,0.12004,0.00041,-4.562,4962.0,31310.0,42969.0,35054.0
2025-09-10,17393,0.11336,0.00057,-4.01,5512.0,24915.0,45955.0,37037.0
2025-09-11,20347,0.19188,0.00054,3.919,15610.0,54241.0,81412.0,91038.0
2025-09-12,20020,0.17218,0.00115,1.562,8997.0,42940.0,72250.0,74060.0
2025-09-13,16194,0.16882,0.00939,3.598,31382.0,46374.0,52333.0,89756.0
2025-09-14,20333,0.15177,0.0003,0.176,4171.0,31019.0,68349.0,68637.0
2025-09-15,20105,0.13321,0.00035,-1.224,1977.0,30196.0,64315.0,62689.0
2025-09-16,17418,0.13596,0.00029,-1.992,3987.0,37981.0,53966.0,43910.0
2025-09-17,17723,0.17347,0.00621,2.731,7508.0,58999.0,59834.0,69520.0
2025-09-18,20372,0.22611,0.00236,8.097,9145.0,73460.0,90168.0,134543.0
2025-09-19,20030,0.19436,0.02736,7.297,4920.0,89989.0,84761.0,115998.0
2025-09-20,16218,0.14789,0.01011,0.468,3456.0,40732.0,66493.0,48788.0
2025-09-21,20327,0.22178,0.00364,7.879,30686.0,53329.0,98783.0,112123.0
2025-09-22,20106,0.21178,0.00358,6.373,16470.0,59471.0,88567.0,109625.0
2025-09-23,17381,0.15591,0.00138,-0.524,7025.0,39060.0,58277.0,39088.0
2025-09-24,17693,0.20207,0.00876,6.178,9307.0,50636.0,93633.0,104311.0
2025-09-25,20379,0.23847,0.00923,10.757,8077.0,102115.0,99662.0,131651.0
2025-09-26,20077,0.19711,0.01818,9.88,36262.0,59810.0,112525.0,138210.0
2025-09-27,16326,0.10808,0.00429,-4.826,3250.0,10110.0,52796.0,37045.0
2025-09-28,20386,0.14638,0.00069,-0.467,2996.0,33043.0,70589.0,61678.0
2025-09-29,20175,0.14103,0.00084,-1.041,3570.0,38379.0,66697.0,58696.0
2025-09-30,17514,0.07369,0.00051,-7.25,842.0,9882.0,44830.0,26000.0
2025-10-01,17920,0.10245,0.00061,-4.792,4463.0,27551.0,52022.0,30995.0
2025-10-02,20814,0.1211,0.00106,-1.942,2009.0,18711.0,74073.0,61547.0
2025-10-03,20460,0.15296,0.00059,-0.459,3135.0,33972.0,66615.0,63939.0
2025-10-04,16689,0.10768,0.00018,-4.418,3421.0,22240.0,50398.0,35003.0
2025-10-05,20687,0.16246,0.00087,1.404,2616.0,25659.0,85334.0,73823.0
2025-10-06,20925,0.2114,0.00139,6.101,7243.0,76617.0,93237.0,110402.0
2025-10-07,18494,0.14249,0.00146,-0.633,4098.0,38760.0,61722.0,51354.0
2025-10-08,18767,0.15337,0.00064,0.319,2090.0,42452.0,58070.0,54698.0
2025-10-09,21068,0.23585,0.00071,6.92,4394.0,62954.0,91421.0,119550.0
2025-10-10,21040,0.26596,0.00138,11.42,8433.0,77752.0,121375.0,154002.0
2025-10-11,17302,0.17483,0.00243,2.792,5986.0,38367.0,78087.0,65123.0
2025-10-12,20963,0.27713,0.00448,11.846,10778.0,89608.0,118580.0,155686.0
2025-10-13,21028,0.29066,0.01355,15.991,8860.0,134372.0,106452.0,209583.0
2025-10-14,18524,0.21989,0.00335,7.724,3736.0,80415.0,82508.0,111695.0
2025-10-15,18781,0.15317,0.00117,-0.646,2617.0,29355.0,63388.0,56072.0
2025-10-16,21063,0.1815,0.00071,2.751,3705.0,35904.0,84138.0,84194.0
2025-10-17,21032,0.13862,0.0009,-0.55,1884.0,21972.0,74373.0,67200.0
2025-10-18,17272,0.24135,0.01673,11.496,40597.0,78562.0,83617.0,121630.0
2025-10-19,20961,0.27246,0.00315,11.192,8105.0,70663.0,120819.0,143739.0
2025-10-20,21010,0.2434,0.00133,8.736,4632.0,53304.0,116481.0,128277.0
2025-10-21,18502,0.13571,0.00081,-1.294,4433.0,25661.0,60512.0,50863.0
2025-10-22,18736,0.15724,0.00128,0.433,2189.0,31443.0,60647.0,64694.0
2025-10-23,21013,0.20634,0.00885,6.093,3248.0,50135.0,110894.0,95377.0
2025-10-24,20773,0.23507,0.01796,8.613,20381.0,63045.0,96957.0,111774.0
2025-10-25,17116,0.21068,0.00666,5.926,20969.0,51426.0,71690.0,86180.0
2025-10-26,20832,0.32729,0.00398,17.805,15726.0,96123.0,135768.0,223814.0
2025-10-27,20889,0.27019,0.00254,13.78,19365.0,85634.0,112331.0,186736.0
2025-10-28,17773,0.18114,0.0018,1.999,5126.0,46335.0,61270.0,62981.0
2025-10-29,18095,0.16184,0.00199,0.119,1400.0,39448.0,54304.0,53969.0
2025-10-30,20224,0.26614,0.04208,18.316,31245.0,150009.0,116497.0,171510.0
2025-10-31,17091,0.24764,0.01972,11.319,3031.0,96928.0,99526.0,107183.0
2025-11-01,16369,0.17789,0.00446,2.133,2836.0,37213.0,75860.0,58413.0
2025-11-02,20032,0.21979,0.00524,5.203,6801.0,78201.0,78306.0,105899.0
2025-11-03,19351,0.16724,0.00124,1.256,4589.0,39649.0,73094.0,79234.0
2025-11-04,17584,0.17049,0.00421,1.165,2353.0,70031.0,49696.0,74431.0
2025-11-05,17823,0.15654,0.0055,2.678,1557.0,79338.0,59937.0,71060.0
2025-11-06,20179,0.26975,0.0057,11.67,6140.0,116371.0,89020.0,148663.0
2025-11-07,19836,0.24545,0.03952,8.084,4293.0,87705.0,82474.0,101513.0
2025-11-08,16698,0.33253,0.07492,24.193,10718.0,212353.0,97895.0,138889.0
2025-11-09,20442,0.45142,0.12132,39.72,35900.0,296575.0,167128.0,287748.0
2025-11-10,20224,0.39915,0.0978,26.151,16336.0,198220.0,138816.0,218599.0
2025-11-11,17867,0.15706,0.05272,0.739,4882.0,44277.0,69838.0,68290.0
2025-11-12,17846,0.09102,0.03659,-6.517,1775.0,21840.0,46625.0,32028.0
2025-11-13,20490,0.13967,0.03797,-1.516,2910.0,51392.0,61172.0,59397.0
2025-11-14,20159,0.11797,0.02307,-4.517,2736.0,23044.0,57841.0,40779.0
2025-11-15,16675,0.08622,0.01373,-7.796,1545.0,12503.0,48003.0,26246.0
2025-11-16,20421,0.16208,0.00372,1.467,4760.0,56322.0,78236.0,85018.0
2025-11-17,19671,0.16075,0.00188,0.837,3982.0,60670.0,69909.0,80965.0
2025-11-18,17823,0.13521,0.00056,-2.861,3295.0,34824.0,52531.0,52532.0
2025-11-19,18029,0.10839,0.00072,-5.299,8273.0,24836.0,39955.0,35699.0
2025-11-20,19975,0.21715,0.03905,10.666,48829.0,77064.0,90124.0,139786.0
2025-11-21,20764,0.20542,0.01108,6.303,17691.0,37194.0,97867.0,140069.0
2025-11-22,18828,0.12588,0.00212,-2.792,3790.0,15408.0,60610.0,59650.0
2025-11-23,20588,0.15068,0.00175,-1.133,7172.0,29015.0,64779.0,77105.0
2025-11-24,20177,0.21825,0.01056,8.422,32616.0,63619.0,85944.0,152524.0
2025-11-25,20739,0.17919,0.00222,2.695,11090.0,34223.0,80666.0,89701.0
2025-11-26,20783,0.22071,0.00298,8.294,18833.0,87311.0,83861.0,132510.0
2025-11-27,11001,0.07455,0.00145,-8.25,2094.0,6968.0,32755.0,13057.0
2025-11-28,18380,0.15557,0.00343,2.05,8157.0,31486.0,95359.0,71447.0
2025-11-29,20216,0.33055,0.08375,24.089,64947.0,144435.0,142307.0,202853.0
2025-11-30,21576,0.46889,0.03852,36.972,43999.0,162820.0,260937.0,364237.0
2025-12-01,21089,0.34603,0.02257,23.552,39870.0,102937.0,200093.0,232620.0
2025-12-02,17989,0.34164,0.00851,19.576,28860.0,86633.0,143533.0,179278.0
2025-12-03,17751,0.27657,0.0031,11.776,26301.0,88343.0,96708.0,121275.0
2025-12-04,19442,0.26037,0.00139,10.198,11708.0,63658.0,122751.0,117776.0
2025-12-05,19238,0.28966,0.01539,14.472,23444.0,74797.0,133032.0,155526.0
2025-12-06,16339,0.18663,0.00802,3.848,10328.0,29653.0,88976.0,69930.0
2025-12-07,19972,0.41196,0.03555,39.312,83004.0,207796.0,202908.0,351302.0
2025-12-08,19236,0.24153,0.01825,10.907,17081.0,42591.0,149428.0,126433.0
