year_month,carrier,carrier_min,weather_min,nas_min,security_min,late_aircraft_min,delayed_flights,total_cause_min,carrier_share_pct,weather_share_pct,nas_share_pct,security_share_pct,late_aircraft_share_pct
2025-08,AS,87769.0,7911.0,72272.0,1699.0,135126.0,6167,304777.0,28.8,2.6,23.71,0.56,44.34
2025-10,AA,519047.0,46644.0,234298.0,1913.0,744072.0,19680,1545974.0,33.57,3.02,15.16,0.12,48.13
2026-02,YX,68536.0,17670.0,88553.0,185.0,134326.0,5134,309270.0,22.16,5.71,28.63,0.06,43.43
2026-02,B6,108792.0,10273.0,83057.0,321.0,185567.0,5315,388010.0,28.04,2.65,21.41,0.08,47.83
2026-03,WN,506978.0,35850.0,309297.0,10233.0,888337.0,30792,1750695.0,28.96,2.05,17.67,0.58,50.74
2025-08,WN,346959.0,56245.0,267459.0,2946.0,674995.0,24370,1348604.0,25.73,4.17,19.83,0.22,50.05
2025-09,AA,495380.0,81842.0,193450.0,1667.0,577881.0,15942,1350220.0,36.69,6.06,14.33,0.12,42.8
2026-02,UA,173819.0,24416.0,194101.0,139.0,207221.0,9279,599696.0,28.98,4.07,32.37,0.02,34.55
2026-07,WN,606008.0,70251.0,347032.0,6708.0,1097517.0,37862,2127516.0,28.48,3.3,16.31,0.32,51.59
2025-08,F9,107928.0,12456.0,73909.0,0.0,195434.0,4829,389727.0,27.69,3.2,18.96,0.0,50.15
2025-08,HA,37600.0,109.0,524.0,301.0,12084.0,992,50618.0,74.28,0.22,1.04,0.59,23.87
2025-09,OO,372078.0,88572.0,131450.0,1075.0,134860.0,10551,728035.0,51.11,12.17,18.06,0.15,18.52
2025-11,OO,430790.0,148776.0,253402.0,352.0,152218.0,11723,985538.0,43.71,15.1,25.71,0.04,15.45
2025-11,AA,496137.0,51074.0,275124.0,2284.0,628350.0,18069,1452969.0,34.15,3.52,18.94,0.16,43.25
2026-02,NK,89323.0,2631.0,67934.0,422.0,83056.0,3351,243366.0,36.7,1.08,27.91,0.17,34.13
2026-02,OH,126988.0,31376.0,45767.0,238.0,205468.0,4532,409837.0,30.99,7.66,11.17,0.06,50.13
2026-03,F9,132860.0,17548.0,110356.0,0.0,252240.0,5784,513004.0,25.9,3.42,21.51,0.0,49.17
2026-03,AS,118715.0,34024.0,66681.0,1198.0,126188.0,5940,346806.0,34.23,9.81,19.23,0.35,36.39
2025-10,OO,501368.0,86833.0,134444.0,863.0,159320.0,12340,882828.0,56.79,9.84,15.23,0.1,18.05
2026-02,DL,399466.0,34498.0,149772.0,828.0,210864.0,12130,795428.0,50.22,4.34,18.83,0.1,26.51
2026-02,G4,54922.0,25095.0,32178.0,148.0,59924.0,1981,172267.0,31.88,14.57,18.68,0.09,34.79
2026-02,MQ,55815.0,16308.0,51828.0,255.0,99489.0,3746,223695.0,24.95,7.29,23.17,0.11,44.48
2026-07,F9,130969.0,23362.0,115825.0,0.0,327282.0,6910,597438.0,21.92,3.91,19.39,0.0,54.78
2026-07,AS,119263.0,15409.0,92833.0,1088.0,146719.0,7265,375312.0,31.78,4.11,24.73,0.29,39.09
2025-09,WN,258031.0,27109.0,205670.0,2339.0,460534.0,18735,953683.0,27.06,2.84,21.57,0.25,48.29
2025-10,AS,78075.0,5664.0,62126.0,616.0,78086.0,4014,224567.0,34.77,2.52,27.66,0.27,34.77
2025-10,F9,83993.0,7772.0,59322.0,0.0,162645.0,3749,313732.0,26.77,2.48,18.91,0.0,51.84
2025-10,HA,50137.0,639.0,926.0,231.0,21082.0,1203,73015.0,68.67,0.88,1.27,0.32,28.87
2025-11,AS,46078.0,6150.0,65228.0,468.0,63689.0,3653,181613.0,25.37,3.39,35.92,0.26,35.07
2025-11,WN,313766.0,16540.0,284959.0,3690.0,657321.0,22537,1276276.0,24.58,1.3,22.33,0.29,51.5
2025-12,MQ,70151.0,39619.0,89234.0,375.0,179874.0,5848,379253.0,18.5,10.45,23.53,0.1,47.43
2025-12,UA,265817.0,40458.0,322747.0,0.0,400591.0,14893,1029613.0,25.82,3.93,31.35,0.0,38.91
2026-01,DL,495843.0,61319.0,191834.0,1170.0,291718.0,15000,1041884.0,47.59,5.89,18.41,0.11,28.0
2026-01,G4,56617.0,24009.0,30932.0,601.0,70577.0,2096,182736.0,30.98,13.14,16.93,0.33,38.62
2026-01,MQ,61616.0,52589.0,70913.0,277.0,136573.0,4631,321968.0,19.14,16.33,22.02,0.09,42.42
2026-01,UA,226050.0,41005.0,219194.0,0.0,262567.0,11166,748816.0,30.19,5.48,29.27,0.0,35.06
2026-03,AA,638315.0,86857.0,241250.0,4682.0,863766.0,20903,1834870.0,34.79,4.73,13.15,0.26,47.08
2026-04,DL,388482.0,20147.0,168455.0,512.0,242783.0,12949,820379.0,47.35,2.46,20.53,0.06,29.59
2026-04,G4,60426.0,12086.0,36302.0,144.0,72711.0,2489,181669.0,33.26,6.65,19.98,0.08,40.02
2026-04,MQ,64024.0,43627.0,81796.0,276.0,164709.0,4956,354432.0,18.06,12.31,23.08,0.08,46.47
2026-04,YX,78090.0,15532.0,115220.0,118.0,163104.0,5578,372064.0,20.99,4.17,30.97,0.03,43.84
2026-05,DL,474260.0,33675.0,238054.0,1227.0,291697.0,16099,1038913.0,45.65,3.24,22.91,0.12,28.08
2026-05,G4,89524.0,21641.0,44603.0,782.0,94141.0,2850,250691.0,35.71,8.63,17.79,0.31,37.55
2026-05,MQ,69776.0,55518.0,69537.0,219.0,148916.0,4760,343966.0,20.29,16.14,20.22,0.06,43.29
2026-05,NK,993.0,35.0,2736.0,50.0,2786.0,96,6600.0,15.05,0.53,41.45,0.76,42.21
2026-05,OH,112082.0,33790.0,64906.0,708.0,170402.0,4752,381888.0,29.35,8.85,17.0,0.19,44.62
2026-06,UA,317808.0,59457.0,490164.0,80.0,507176.0,18224,1374685.0,23.12,4.33,35.66,0.01,36.89
2026-07,OO,686594.0,194204.0,294580.0,1357.0,372465.0,18058,1549200.0,44.32,12.54,19.01,0.09,24.04
2025-08,OO,589077.0,175368.0,207339.0,1395.0,259054.0,15218,1232233.0,47.81,14.23,16.83,0.11,21.02
2025-09,AS,49301.0,5796.0,48281.0,1338.0,57884.0,3369,162600.0,30.32,3.56,29.69,0.82,35.6
