origin,flight_date,airport_code,y,lightgbm,seasonal_naive,mean_4wk_same_weekday,target
2026-06-05,2026-06-06,ATL,779.0,766.8968411989301,771.0,763.0,scheduled_departures
2026-06-05,2026-06-07,ATL,936.0,911.8312964867022,928.0,902.75,scheduled_departures
2026-06-05,2026-06-08,ATL,945.0,909.3307749338068,938.0,933.25,scheduled_departures
2026-06-05,2026-06-09,ATL,895.0,869.9180938347064,889.0,881.5,scheduled_departures
2026-06-05,2026-06-10,ATL,897.0,871.0376478654691,895.0,889.75,scheduled_departures
2026-06-05,2026-06-11,ATL,942.0,910.5985727228598,939.0,936.75,scheduled_departures
2026-06-05,2026-06-12,ATL,943.0,933.0628288351216,937.0,937.5,scheduled_departures
2026-06-05,2026-06-06,CLT,472.0,468.07247534384277,469.0,478.25,scheduled_departures
2026-06-05,2026-06-07,CLT,513.0,513.5665192027896,520.0,523.5,scheduled_departures
2026-06-05,2026-06-08,CLT,513.0,497.9304000990085,513.0,524.75,scheduled_departures
2026-06-05,2026-06-09,CLT,492.0,469.9635052503259,473.0,471.75,scheduled_departures
2026-06-05,2026-06-10,CLT,500.0,485.6511745229443,488.0,501.5,scheduled_departures
2026-06-05,2026-06-11,CLT,518.0,511.5129406547894,520.0,522.75,scheduled_departures
2026-06-05,2026-06-12,CLT,517.0,526.9209749336004,516.0,521.25,scheduled_departures
2026-06-05,2026-06-06,DEN,872.0,842.2611427894517,834.0,802.75,scheduled_departures
2026-06-05,2026-06-07,DEN,974.0,957.7586824076619,961.0,914.5,scheduled_departures
2026-06-05,2026-06-08,DEN,992.0,966.4571355813443,967.0,938.75,scheduled_departures
2026-06-05,2026-06-09,DEN,917.0,883.0443596587418,872.0,846.0,scheduled_departures
2026-06-05,2026-06-10,DEN,952.0,914.6237580315797,904.0,876.0,scheduled_departures
2026-06-05,2026-06-11,DEN,997.0,991.5426035238016,995.0,958.75,scheduled_departures
2026-06-05,2026-06-12,DEN,998.0,989.5720155812767,995.0,960.75,scheduled_departures
2026-06-05,2026-06-06,DFW,900.0,876.0918948892697,897.0,866.75,scheduled_departures
2026-06-05,2026-06-07,DFW,945.0,938.9231322784129,942.0,914.0,scheduled_departures
2026-06-05,2026-06-08,DFW,945.0,926.395890442299,937.0,912.75,scheduled_departures
2026-06-05,2026-06-09,DFW,893.0,883.3994045815364,884.0,848.5,scheduled_departures
2026-06-05,2026-06-10,DFW,901.0,886.2929871422002,890.0,876.75,scheduled_departures
2026-06-05,2026-06-11,DFW,947.0,945.6569766569047,947.0,928.5,scheduled_departures
2026-06-05,2026-06-12,DFW,949.0,961.6720698215119,946.0,930.5,scheduled_departures
2026-06-05,2026-06-06,LAS,379.0,378.1938456604718,376.0,373.5,scheduled_departures
2026-06-05,2026-06-07,LAS,495.0,520.768030149425,523.0,512.5,scheduled_departures
2026-06-05,2026-06-08,LAS,501.0,491.4850897426888,502.0,512.75,scheduled_departures
2026-06-05,2026-06-09,LAS,419.0,421.1051682726993,422.0,424.75,scheduled_departures
2026-06-05,2026-06-10,LAS,422.0,423.19974959048125,424.0,431.0,scheduled_departures
2026-06-05,2026-06-11,LAS,496.0,491.83687221556244,500.0,509.5,scheduled_departures
2026-06-05,2026-06-12,LAS,498.0,505.77596012984185,502.0,511.5,scheduled_departures
2026-06-05,2026-06-06,LAX,507.0,487.86779311568847,502.0,486.5,scheduled_departures
2026-06-05,2026-06-07,LAX,562.0,546.099766463191,559.0,536.5,scheduled_departures
2026-06-05,2026-06-08,LAX,576.0,543.1455344680122,567.0,556.75,scheduled_departures
2026-06-05,2026-06-09,LAX,530.0,500.0834651773437,516.0,507.75,scheduled_departures
2026-06-05,2026-06-10,LAX,542.0,511.29599898149235,525.0,513.75,scheduled_departures
2026-06-05,2026-06-11,LAX,586.0,554.1215300626866,573.0,564.25,scheduled_departures
2026-06-05,2026-06-12,LAX,585.0,566.8051397818696,572.0,563.5,scheduled_departures
2026-06-05,2026-06-06,MCO,434.0,429.46907571914426,428.0,424.25,scheduled_departures
2026-06-05,2026-06-07,MCO,427.0,434.743140777119,430.0,421.75,scheduled_departures
2026-06-05,2026-06-08,MCO,424.0,419.6764222543062,424.0,426.5,scheduled_departures
2026-06-05,2026-06-09,MCO,390.0,387.31937661674675,384.0,381.0,scheduled_departures
2026-06-05,2026-06-10,MCO,392.0,385.6492541198031,380.0,387.0,scheduled_departures
2026-06-05,2026-06-11,MCO,422.0,421.8206861746987,419.0,422.5,scheduled_departures
2026-06-05,2026-06-12,MCO,428.0,436.5657302781651,425.0,425.75,scheduled_departures
2026-06-05,2026-06-06,ORD,981.0,1004.6407256384203,1029.0,1026.5,scheduled_departures
2026-06-05,2026-06-07,ORD,1056.0,1064.6632088955605,1090.0,1100.5,scheduled_departures
2026-06-05,2026-06-08,ORD,1057.0,1034.5565800662182,1070.0,1100.0,scheduled_departures
2026-06-05,2026-06-09,ORD,1037.0,1028.1895984217463,1044.0,1056.0,scheduled_departures
2026-06-05,2026-06-10,ORD,1046.0,1032.2910268791356,1054.0,1077.25,scheduled_departures
2026-06-05,2026-06-11,ORD,1061.0,1029.4832214440853,1053.0,1089.5,scheduled_departures
2026-06-05,2026-06-12,ORD,1063.0,1045.202735675803,1056.0,1095.0,scheduled_departures
2026-06-05,2026-06-06,PHX,473.0,488.3579229975684,491.0,492.75,scheduled_departures
2026-06-05,2026-06-07,PHX,530.0,555.8257175121284,563.0,567.75,scheduled_departures
2026-06-05,2026-06-08,PHX,544.0,555.0067438970715,571.0,588.25,scheduled_departures
2026-06-05,2026-06-09,PHX,507.0,506.37063081862374,515.0,515.75,scheduled_departures
2026-06-05,2026-06-10,PHX,512.0,525.1694156229534,526.0,545.0,scheduled_departures
2026-06-05,2026-06-11,PHX,540.0,537.6276529404159,542.0,570.0,scheduled_departures
2026-06-05,2026-06-12,PHX,541.0,547.153192197859,543.0,573.0,scheduled_departures
2026-06-05,2026-06-06,SEA,480.0,464.6092334737784,464.0,449.25,scheduled_departures
2026-06-05,2026-06-07,SEA,514.0,496.3544564756156,500.0,483.5,scheduled_departures
2026-06-05,2026-06-08,SEA,516.0,486.317283470597,501.0,488.25,scheduled_departures
2026-06-05,2026-06-09,SEA,497.0,471.6933347303345,479.0,467.5,scheduled_departures
2026-06-05,2026-06-10,SEA,512.0,481.56836784829136,487.0,482.25,scheduled_departures
2026-06-05,2026-06-11,SEA,532.0,501.73951193694097,513.0,500.5,scheduled_departures
2026-06-05,2026-06-12,SEA,531.0,515.1377385779139,517.0,504.25,scheduled_departures
2026-06-12,2026-06-13,ATL,786.0,788.6503108014033,779.0,768.25,scheduled_departures
2026-06-12,2026-06-14,ATL,931.0,923.7986518074742,936.0,903.75,scheduled_departures
2026-06-12,2026-06-15,ATL,945.0,946.653567997146,945.0,936.25,scheduled_departures
2026-06-12,2026-06-16,ATL,896.0,911.9299624152969,895.0,888.0,scheduled_departures
2026-06-12,2026-06-17,ATL,898.0,910.2660009026858,897.0,893.5,scheduled_departures
2026-06-12,2026-06-18,ATL,940.0,879.3757501292878,942.0,938.5,scheduled_departures
2026-06-12,2026-06-19,ATL,941.0,665.0920748458223,943.0,939.5,scheduled_departures
2026-06-12,2026-06-13,CLT,475.0,487.00891766636323,472.0,474.25,scheduled_departures
2026-06-12,2026-06-14,CLT,514.0,519.369723643043,513.0,517.75,scheduled_departures
2026-06-12,2026-06-15,CLT,516.0,522.4247175809844,513.0,519.25,scheduled_departures
2026-06-12,2026-06-16,CLT,492.0,510.8794012526049,492.0,479.0,scheduled_departures
2026-06-12,2026-06-17,CLT,500.0,511.68187028745973,500.0,496.75,scheduled_departures
2026-06-12,2026-06-18,CLT,518.0,511.8884390093976,518.0,519.5,scheduled_departures
2026-06-12,2026-06-19,CLT,517.0,381.14081776937786,517.0,516.75,scheduled_departures
2026-06-12,2026-06-13,DEN,870.0,905.5148551165553,872.0,828.0,scheduled_departures
2026-06-12,2026-06-14,DEN,978.0,978.6213065680347,974.0,932.5,scheduled_departures
2026-06-12,2026-06-15,DEN,996.0,998.0371283393944,992.0,959.25,scheduled_departures
2026-06-12,2026-06-16,DEN,918.0,940.3470168000231,917.0,871.25,scheduled_departures
2026-06-12,2026-06-17,DEN,952.0,974.6191435032224,952.0,902.0,scheduled_departures
2026-06-12,2026-06-18,DEN,998.0,932.2659230297165,997.0,980.25,scheduled_departures
2026-06-12,2026-06-19,DEN,1000.0,714.1887693317765,998.0,981.75,scheduled_departures
2026-06-12,2026-06-13,DFW,901.0,920.2246571338943,900.0,882.5,scheduled_departures
2026-06-12,2026-06-14,DFW,947.0,954.2706105435019,945.0,927.25,scheduled_departures
2026-06-12,2026-06-15,DFW,949.0,959.7167177185119,945.0,926.0,scheduled_departures
2026-06-12,2026-06-16,DFW,902.0,917.9110026565467,893.0,869.5,scheduled_departures
