year_month,airport_code,airport_name,state,scheduled_departures,on_time_arrival_pct,dep_delay_rate_pct,avg_dep_delay_min,avg_taxi_out_min,cancellation_rate_pct
2025-08,BDL,Bradley International Airport,CT,2056,78.8,19.43,13.15,14.22,1.119
2025-08,DTW,Detroit Metropolitan Wayne County Airport,MI,10916,81.3,18.08,10.11,16.86,0.577
2025-08,MSY,Louis Armstrong New Orleans International Airport,LA,3739,80.22,20.31,13.71,13.07,1.097
2025-08,TPA,Tampa International Airport,FL,6171,74.63,23.76,15.45,17.05,0.697
2025-08,PIT,Pittsburgh International Airport,PA,3841,82.61,17.08,9.49,13.96,1.198
2025-08,MEM,Frederick W. Smith International Airport,TN,2191,80.58,17.8,11.94,15.06,1.552
2025-08,MIA,Miami International Airport,FL,8731,67.59,31.45,22.86,21.24,0.859
2025-08,CLE,Cleveland Hopkins International Airport,OH,3492,81.77,17.41,9.89,14.89,1.804
2025-08,MYR,Myrtle Beach International Airport,SC,1683,78.33,22.54,14.04,13.22,0.891
2025-08,LBE,Arnold Palmer Regional Airport,PA,60,70.0,28.33,8.58,11.48,0.0
2025-08,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,MN,10305,81.47,18.58,10.27,16.49,0.466
2025-08,ACY,Atlantic City International Airport,NJ,346,81.52,18.95,11.16,11.65,0.867
2025-08,PBI,President Donald J. Trump International Airport,FL,2008,75.25,24.79,19.72,14.88,1.145
2025-08,RNO,Reno Tahoe International Airport,NV,1925,81.86,17.42,10.58,16.06,0.675
2025-08,ORF,Norfolk International Airport,VA,1816,80.73,17.76,10.32,15.49,1.377
2025-08,SNA,John Wayne Orange County International Airport,CA,3918,80.6,19.68,12.18,16.41,1.021
2025-08,OKC,OKC Will Rogers World Airport,OK,2092,79.26,18.08,9.78,15.32,1.386
2025-08,FWA,Fort Wayne International Airport,IN,541,74.81,19.73,14.76,18.25,2.588
2025-08,MHT,Manchester-Boston Regional Airport,NH,573,79.78,16.43,10.34,14.06,2.269
2025-08,IAD,Washington Dulles International Airport,VA,5201,81.0,16.8,10.2,21.3,0.788
2025-08,CRW,Yeager Airport,WV,254,75.4,18.88,20.62,20.15,1.969
2025-08,ICT,Wichita Dwight D. Eisenhower National Airport,KS,1047,76.74,19.75,13.85,14.93,2.292
2025-08,PVD,Rhode Island T. F. Green International Airport,RI,1382,81.98,17.41,11.09,13.99,1.085
2025-08,BUF,Buffalo Niagara International Airport,NY,1886,78.89,22.17,16.81,13.29,1.007
2025-08,ALB,Albany International Airport,NY,1130,79.46,19.0,14.72,13.75,1.239
