year_month,carrier,carrier_name,scheduled_flights,completed_flights,on_time_pct,avg_arr_delay_min,cancellation_rate_pct,diversion_rate_pct,carrier_delay_min,weather_delay_min,nas_delay_min,security_delay_min,late_aircraft_delay_min
2025-10,B6,JetBlue Airways,18401,18144,74.55,8.82,1.049,0.348,79945.0,4359.0,124236.0,182.0,120061.0
2025-10,OH,PSA Airlines Inc.,20423,20297,80.96,4.02,0.455,0.162,84273.0,8728.0,44713.0,340.0,139781.0
2025-10,UA,United Air Lines Inc.,71415,71122,80.4,3.79,0.267,0.143,208211.0,13043.0,325440.0,1.0,250915.0
2025-12,G4,Allegiant Air,11516,11372,69.02,18.22,0.799,0.452,74437.0,34939.0,52296.0,853.0,124693.0
2025-12,B6,JetBlue Airways,20560,19947,63.85,21.92,2.782,0.199,166259.0,15109.0,118027.0,1325.0,248367.0
2025-12,AA,American Airlines Inc.,79859,79315,73.61,13.09,0.492,0.189,560450.0,63844.0,212207.0,2532.0,790462.0
2026-01,AA,American Airlines Inc.,76772,69740,76.03,13.81,8.928,0.232,614161.0,167358.0,187029.0,3243.0,604627.0
2026-02,NK,Spirit Air Lines,11512,10579,68.32,15.44,8.0,0.104,89323.0,2631.0,67934.0,422.0,83056.0
2026-03,F9,Frontier Airlines Inc.,20119,19428,70.23,17.49,3.201,0.234,132860.0,17548.0,110356.0,0.0,252240.0
2026-03,MQ,Envoy Air,26721,25792,80.1,5.44,3.05,0.427,73321.0,52755.0,95824.0,571.0,163738.0
2026-04,F9,Frontier Airlines Inc.,18540,18268,74.23,11.26,1.321,0.146,95531.0,6300.0,64753.0,0.0,205692.0
2026-04,AA,American Airlines Inc.,84538,83534,77.74,7.61,0.891,0.297,490402.0,58251.0,197643.0,1723.0,671617.0
2026-05,OH,PSA Airlines Inc.,20854,20383,76.69,8.72,1.928,0.331,112082.0,33790.0,64906.0,708.0,170402.0
2026-07,OO,SkyWest Airlines Inc.,77072,75556,76.1,12.6,1.548,0.419,686594.0,194204.0,294580.0,1357.0,372465.0
2026-07,WN,Southwest Airlines Co.,124994,122864,69.18,13.29,1.135,0.569,606008.0,70251.0,347032.0,6708.0,1097517.0
2025-10,MQ,Envoy Air,27348,27169,81.58,3.43,0.497,0.157,52610.0,21519.0,73920.0,432.0,131578.0
2025-11,AS,Alaska Airlines Inc.,19752,19422,81.19,0.35,1.306,0.365,46078.0,6150.0,65228.0,468.0,63689.0
2026-01,F9,Frontier Airlines Inc.,15382,14817,72.03,13.57,3.556,0.117,106742.0,9499.0,62204.0,0.0,163518.0
2026-04,NK,Spirit Air Lines,10469,10096,65.35,19.12,3.362,0.201,79118.0,3246.0,88077.0,419.0,70900.0
2026-06,UA,United Air Lines Inc.,72791,72045,74.7,11.68,0.621,0.404,317808.0,59457.0,490164.0,80.0,507176.0
2026-07,MQ,Envoy Air,29780,29270,81.22,4.34,1.481,0.232,104823.0,53512.0,85793.0,488.0,180784.0
2026-07,OH,PSA Airlines Inc.,21472,19973,63.52,31.73,6.599,0.382,231847.0,83887.0,100600.0,707.0,364652.0
2026-07,B6,JetBlue Airways,23312,20882,62.23,27.61,9.776,0.648,213813.0,23456.0,153170.0,897.0,320036.0
2025-08,OH,PSA Airlines Inc.,20427,19849,76.04,13.68,2.595,0.235,129756.0,31555.0,49476.0,1377.0,220213.0
2025-08,B6,JetBlue Airways,20204,19973,75.26,10.6,0.648,0.495,110282.0,13358.0,83198.0,628.0,182975.0
2025-09,YX,Republic Airline,28284,27845,83.27,1.07,1.389,0.163,68416.0,18367.0,122160.0,400.0,109532.0
2025-09,F9,Frontier Airlines Inc.,14896,14820,79.62,5.67,0.342,0.168,70731.0,10254.0,41601.0,0.0,114598.0
2025-09,AA,American Airlines Inc.,77306,76122,79.06,8.35,1.207,0.325,495380.0,81842.0,193450.0,1667.0,577881.0
2025-10,WN,Southwest Airlines Co.,121588,121092,77.37,6.5,0.253,0.155,380211.0,21289.0,231735.0,2910.0,713078.0
2025-12,MQ,Envoy Air,25437,24931,76.54,8.0,1.745,0.244,70151.0,39619.0,89234.0,375.0,179874.0
2025-12,HA,Hawaiian Airlines Inc.,6705,6647,72.0,14.65,0.686,0.179,62654.0,4544.0,2037.0,270.0,40613.0
2026-01,NK,Spirit Air Lines,11915,11047,71.87,10.4,7.193,0.092,72937.0,3639.0,62377.0,498.0,70963.0
2026-01,YX,Republic Airline,29572,27112,79.57,2.51,8.183,0.135,118262.0,21259.0,95150.0,184.0,137407.0
