dep_hour,day_of_week,scheduled_flights,arr_delay_rate_pct,avg_arr_delay_min,cancellation_rate_pct
0,1,1700,20.46,5.32,2.471
0,2,1467,18.56,4.11,1.909
0,3,1208,12.0,-4.71,1.159
0,4,1327,12.02,-5.43,0.754
0,5,1629,17.25,2.03,1.719
0,6,1634,19.49,4.28,1.408
0,7,1410,15.8,1.18,2.624
1,1,510,19.14,4.47,4.51
1,2,491,20.42,4.14,2.24
1,3,461,15.45,3.21,1.735
1,4,476,15.14,-0.39,1.05
1,5,510,19.0,3.38,1.765
1,6,506,20.37,4.8,2.569
1,7,489,20.0,5.38,4.499
2,1,190,25.14,6.37,5.263
2,2,172,21.89,2.54,1.744
2,3,171,15.38,-5.07,1.17
2,4,177,11.86,-0.56,0.0
2,5,190,23.16,6.19,0.0
2,6,181,22.78,6.8,0.552
2,7,191,22.46,-0.11,2.094
3,1,104,23.0,5.8,3.846
3,2,88,29.55,27.97,0.0
3,3,72,16.67,-3.75,0.0
3,4,94,14.13,-6.29,2.128
3,5,105,19.8,15.88,3.81
3,6,104,15.15,-3.02,4.808
3,7,103,20.59,7.58,0.971
4,1,25,20.83,6.33,4.0
4,2,24,16.67,-1.21,0.0
4,3,23,26.09,7.26,0.0
4,4,19,26.32,13.79,0.0
4,5,26,12.0,4.2,3.846
4,6,27,7.69,-0.69,3.704
4,7,26,16.67,0.58,7.692
5,1,30037,9.51,-1.31,2.617
5,2,23160,7.82,-4.11,1.511
5,3,22792,7.32,-5.72,0.948
5,4,29271,6.96,-5.32,0.618
5,5,30739,7.49,-4.29,1.2
5,6,26653,9.51,-1.92,1.737
5,7,28975,9.44,-2.27,2.181
6,1,72900,11.07,-0.51,3.215
6,2,66229,9.18,-3.57,2.063
6,3,65756,8.37,-4.81,1.2
6,4,71911,8.7,-3.53,0.754
6,5,74359,9.43,-2.59,1.252
6,6,63451,10.95,-1.4,1.872
6,7,68759,11.31,-0.75,2.624
7,1,77400,13.98,0.99,2.563
7,2,70465,11.54,-2.49,1.622
7,3,70972,10.58,-3.54,0.914
7,4,76683,11.41,-2.09,0.578
7,5,78747,12.45,-0.56,1.027
7,6,71503,13.63,0.26,1.68
7,7,76403,14.07,1.13,2.385
8,1,71198,16.06,2.47,2.339
8,2,68702,13.39,-1.61,1.278
8,3,69212,12.33,-2.22,0.735
8,4,69869,13.67,-0.71,0.564
8,5,72093,14.56,0.71,1.074
8,6,66147,15.12,1.16,1.816
8,7,69783,15.91,2.3,2.387
9,1,59080,17.82,3.88,2.109
9,2,54023,14.29,-0.33,1.303
9,3,54340,13.51,-1.26,0.74
9,4,59107,15.62,1.13,0.612
9,5,60156,16.89,2.75,1.037
9,6,53397,17.3,2.89,1.627
9,7,58448,18.02,3.83,2.252
10,1,65600,19.45,5.66,2.262
10,2,62989,15.6,0.79,1.356
10,3,63304,15.0,-0.04,0.689
10,4,64704,17.72,3.16,0.648
10,5,66709,18.68,4.45,1.037
10,6,58705,18.72,4.33,1.962
10,7,64993,19.76,6.0,2.722
11,1,63686,21.61,7.64,2.208
11,2,59750,16.7,2.12,1.317
11,3,60492,16.71,1.52,0.66
11,4,63591,19.68,4.97,0.689
11,5,64651,20.84,6.41,1.03
11,6,57483,20.25,5.78,1.858
11,7,63878,22.12,8.04,2.376
12,1,62701,23.54,10.15,2.092
12,2,58728,18.1,3.33,1.359
12,3,58902,18.44,3.24,0.647
12,4,61661,21.54,6.86,0.806
12,5,63787,23.73,9.49,1.102
12,6,55586,21.65,7.27,1.997
12,7,61588,24.85,10.76,2.648
13,1,62137,25.19,11.33,2.02
