route,origin,dest,distance_mi,scheduled_flights,carriers,on_time_pct,avg_arr_delay_min,p90_arr_delay_min,cancellation_rate_pct
LNK-ORD,LNK,ORD,466.0,1585,1,75.23,17.83,71.0,3.344
HLN-DEN,HLN,DEN,594.0,814,1,82.21,6.38,55.0,0.491
SFO-OMA,SFO,OMA,1433.0,369,2,71.43,10.51,60.4,0.813
ASE-DEN,ASE,DEN,125.0,2725,1,76.26,13.9,86.0,4.991
DEN-BOI,DEN,BOI,649.0,3037,4,76.85,7.18,39.0,0.099
ASE-LAX,ASE,LAX,737.0,1235,1,72.58,20.07,96.6,6.802
LAX-BOI,LAX,BOI,674.0,1375,2,89.43,-7.27,16.9,0.073
DRO-DEN,DRO,DEN,251.0,2187,2,82.59,3.53,41.0,1.097
XWA-DEN,XWA,DEN,582.0,1371,1,76.64,14.11,68.0,1.313
DEN-BZN,DEN,BZN,524.0,2721,3,78.89,5.82,39.2,0.294
SHV-IAH,SHV,IAH,192.0,1201,1,76.6,13.23,48.3,0.999
ORD-ICT,ORD,ICT,588.0,2189,5,66.96,18.44,79.6,2.65
DEN-FAT,DEN,FAT,844.0,1452,3,80.98,3.04,32.0,0.069
ORD-BIL,ORD,BIL,1060.0,316,2,88.5,-4.86,16.0,0.316
ILM-ORD,ILM,ORD,760.0,542,4,79.55,9.65,44.6,2.214
FCA-DEN,FCA,DEN,752.0,1010,2,84.78,1.81,31.0,0.99
PSP-DEN,PSP,DEN,776.0,2027,4,82.26,4.08,35.0,0.789
DEN-GJT,DEN,GJT,212.0,2256,2,79.76,6.48,44.0,1.152
CAK-ORD,CAK,ORD,344.0,2026,3,73.3,20.62,104.0,5.38
PHX-BOI,PHX,BOI,735.0,2015,5,80.54,4.33,34.0,0.347
MKE-ORD,MKE,ORD,67.0,5268,4,68.47,21.94,91.0,4.48
SBP-PHX,SBP,PHX,509.0,1258,3,81.93,16.76,36.0,0.954
AEX-DFW,AEX,DFW,285.0,1045,2,83.23,4.3,34.0,3.923
FSD-ORD,FSD,ORD,462.0,1801,5,68.89,20.97,91.0,3.776
PHX-OKC,PHX,OKC,833.0,1837,4,76.21,8.85,46.0,0.925
DFW-SHV,DFW,SHV,190.0,2125,3,75.84,11.72,60.0,3.718
