airport_code,airport_name,city,state,latitude,longitude,elevation_ft,airport_type,has_ourairports_match,ops_segment
ABE,Lehigh Valley International Airport,"Allentown/Bethlehem/Easton, PA",PA,40.651773,-75.442797,393.0,medium_airport,true,"Regional - volatile delays, delay-prone"
ABI,Abilene Regional Airport,"Abilene, TX",TX,32.4113006592,-99.68190002440001,1791.0,medium_airport,true,
ABQ,Albuquerque International Sunport,"Albuquerque, NM",NM,35.039976,-106.608925,5355.0,large_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
ABR,Aberdeen Regional Airport,"Aberdeen, SD",SD,45.449100494384766,-98.42179870605469,1302.0,medium_airport,true,
ABY,Southwest Georgia Regional Airport,"Albany, GA",GA,31.532946,-84.196215,197.0,medium_airport,true,
ACK,Nantucket Memorial Airport,"Nantucket, MA",MA,41.25310135,-70.06020355,47.0,medium_airport,true,
ACT,Waco Regional Airport,"Waco, TX",TX,31.611299514770508,-97.23049926757812,516.0,medium_airport,true,
ACV,California Redwood Coast-Humboldt County Airport,"Arcata/Eureka, CA",CA,40.978101,-124.109,221.0,medium_airport,true,
ACY,Atlantic City International Airport,"Atlantic City, NJ",NJ,39.456201,-74.577511,75.0,medium_airport,true,
ADK,Adak Airport,"Adak Island, AK",AK,51.883564,-176.642783,18.0,medium_airport,true,
ADQ,Kodiak Airport,"Kodiak, AK",AK,57.75,-152.4940033,78.0,medium_airport,true,
AEX,Alexandria International Airport,"Alexandria, LA",LA,31.325828,-92.546702,89.0,medium_airport,true,
AGS,Augusta Regional At Bush Field,"Augusta, GA",GA,33.3699,-81.9645,144.0,medium_airport,true,
AKN,King Salmon Airport,"King Salmon, AK",AK,58.677845,-156.651965,73.0,medium_airport,true,
ALB,Albany International Airport,"Albany, NY",NY,42.748299,-73.801697,285.0,large_airport,true,"Mid-size - ATC/NAS-constrained, low weather exposure"
ALO,Waterloo Regional Airport,"Waterloo, IA",IA,42.557098388671875,-92.40029907226562,873.0,medium_airport,true,
AMA,Rick Husband Amarillo International Airport,"Amarillo, TX",TX,35.217857,-101.706444,3607.0,medium_airport,true,"Regional - short-haul mix, few NAS delays"
ANC,Ted Stevens Anchorage International Airport,"Anchorage, AK",AK,61.179004,-149.992561,152.0,large_airport,true,"Mid-size - stable delays, quick turn"
APN,Alpena County Regional Airport,"Alpena, MI",MI,45.0780983,-83.56030273,690.0,medium_airport,true,
ASE,Aspen-Pitkin County Airport (Sardy Field),"Aspen, CO",CO,39.223202,-106.869003,7820.0,medium_airport,true,"Regional - volatile delays, delay-prone"
