route,origin,dest,distance_mi,scheduled_flights,route_segment
ABE-ATL,ABE,ATL,692.0,55,
ABE-BNA,ABE,BNA,684.0,66,
ABE-CLT,ABE,CLT,481.0,856,"Thin route - reliable, short delay tail"
ABE-DEN,ABE,DEN,1539.0,46,
ABE-FLL,ABE,FLL,1041.0,108,
ABE-MCO,ABE,MCO,906.0,108,
ABE-MLB,ABE,MLB,914.0,105,
ABE-MYR,ABE,MYR,518.0,229,
ABE-ORD,ABE,ORD,654.0,453,"Thin route - long delay tail, high average delay"
ABE-PGD,ABE,PGD,1018.0,244,
ABE-PIE,ABE,PIE,970.0,280,
ABE-RSW,ABE,RSW,1038.0,75,
ABE-SFB,ABE,SFB,882.0,643,"Thin route - reliable, short delay tail"
ABE-SRQ,ABE,SRQ,1000.0,107,
ABI-DEN,ABI,DEN,584.0,274,
ABI-DFW,ABI,DFW,158.0,1750,"Thin route - reliable, short delay tail"
ABI-IAH,ABI,IAH,306.0,137,
ABI-PHX,ABI,PHX,720.0,57,
ABQ-ATL,ABQ,ATL,1269.0,997,"Thin route - reliable, short delay tail"
ABQ-AUS,ABQ,AUS,619.0,830,"Thin route - reliable, short delay tail"
ABQ-BNA,ABQ,BNA,1123.0,253,
ABQ-BUR,ABQ,BUR,672.0,327,"Thin route - reliable, short delay tail"
ABQ-BWI,ABQ,BWI,1670.0,400,"Thin route - long-haul, rarely cancels"
ABQ-CLT,ABQ,CLT,1449.0,6,
ABQ-DAL,ABQ,DAL,580.0,1628,"Thin route - reliable, short delay tail"
ABQ-DEN,ABQ,DEN,349.0,3200,"Thin route - reliable, short delay tail"
ABQ-DFW,ABQ,DFW,569.0,2278,"Trunk route - multi-carrier, unreliable"
ABQ-DTW,ABQ,DTW,1347.0,4,
ABQ-HOU,ABQ,HOU,759.0,970,"Thin route - reliable, short delay tail"
ABQ-IAD,ABQ,IAD,1628.0,272,
ABQ-IAH,ABQ,IAH,744.0,474,"Thin route - reliable, short delay tail"
ABQ-JFK,ABQ,JFK,1826.0,160,
ABQ-LAS,ABQ,LAS,486.0,1719,"Thin route - reliable, short delay tail"
ABQ-LAX,ABQ,LAX,677.0,2218,"Thin route - reliable, short delay tail"
ABQ-LGB,ABQ,LGB,664.0,96,
ABQ-MCI,ABQ,MCI,718.0,206,
ABQ-MCO,ABQ,MCO,1553.0,34,
ABQ-MDW,ABQ,MDW,1121.0,449,"Thin route - reliable, short delay tail"
ABQ-MSP,ABQ,MSP,981.0,173,
ABQ-OAK,ABQ,OAK,889.0,353,"Thin route - reliable, short delay tail"
ABQ-ORD,ABQ,ORD,1118.0,1146,"Trunk route - multi-carrier, unreliable"
ABQ-PDX,ABQ,PDX,1111.0,7,
ABQ-PHL,ABQ,PHL,1747.0,6,
ABQ-PHX,ABQ,PHX,328.0,3307,"Trunk route - multi-carrier, unreliable"
ABQ-SAN,ABQ,SAN,628.0,684,"Thin route - reliable, short delay tail"
ABQ-SAT,ABQ,SAT,609.0,9,
ABQ-SEA,ABQ,SEA,1180.0,548,"Thin route - reliable, short delay tail"
ABQ-SFO,ABQ,SFO,896.0,713,"Thin route - reliable, short delay tail"
ABQ-SLC,ABQ,SLC,493.0,1154,"Thin route - reliable, short delay tail"
ABR-MSP,ABR,MSP,257.0,754,"Thin route - reliable, short delay tail"
ABY-ATL,ABY,ATL,145.0,308,"Thin route - reliable, short delay tail"
ACK-BOS,ACK,BOS,91.0,284,
ACK-CLT,ACK,CLT,723.0,23,
ACK-DCA,ACK,DCA,405.0,283,
ACK-HPN,ACK,HPN,191.0,234,
ACK-JFK,ACK,JFK,199.0,301,"Thin route - long delay tail, high average delay"
ACK-LGA,ACK,LGA,202.0,412,"Thin route - long delay tail, high average delay"
ACK-ORD,ACK,ORD,924.0,31,
ACK-PHL,ACK,PHL,288.0,122,
ACT-BHM,ACT,BHM,626.0,1,
ACT-DFW,ACT,DFW,90.0,1073,"Thin route - reliable, short delay tail"
ACV-DEN,ACV,DEN,1026.0,370,"Thin route - long delay tail, high average delay"
ACV-LAX,ACV,LAX,577.0,423,"Thin route - reliable, short delay tail"
ACV-SEA,ACV,SEA,456.0,115,
ACV-SFO,ACV,SFO,250.0,1292,"Thin route - long delay tail, high average delay"
ACY-FLL,ACY,FLL,977.0,550,"Thin route - long delay tail, high average delay"
ACY-MCO,ACY,MCO,852.0,517,"Thin route - reliable, short delay tail"
ACY-MIA,ACY,MIA,998.0,27,
ACY-MYR,ACY,MYR,466.0,116,
ACY-PBI,ACY,PBI,936.0,326,"Thin route - reliable, short delay tail"
ACY-PGD,ACY,PGD,964.0,28,
ACY-PIE,ACY,PIE,922.0,50,
ACY-RSW,ACY,RSW,982.0,288,
ACY-SFB,ACY,SFB,829.0,65,
