flight_id,date_key,carrier_code,origin_airport,route,delay_prob,delay_pred,delay_p50,delay_p90,cancel_prob,arr_del15,cancelled
1801779389100827098,20260601,B6,MCO,MCO-LGA,0.43522388,1,11.366635,97.97699,0.020807818,0,0
1937964469153159876,20260601,AA,PHL,PHL-DEN,0.31195533,1,1.2513933,72.39093,0.010650033,1,0
17551937960238301742,20260601,YX,TVC,TVC-BOS,0.17293233,0,-7.751552,41.3751,0.014395984,0,0
18104407207275149148,20260601,DL,MSP,MSP-DEN,0.31195533,1,0.24932095,56.130627,0.007628545,1,0
5734242244278833008,20260601,AA,EWR,EWR-MIA,0.18825832,0,-10.225059,43.05643,0.015149151,0,0
3432333539169705350,20260601,DL,SLC,SLC-AUS,0.14678898,0,-10.657399,35.490505,0.007911212,0,0
9369638684595030325,20260601,AA,ORD,ORD-PHL,0.22709952,1,-8.394499,47.412125,0.01537038,1,0
10661146924175536990,20260601,B6,DCA,DCA-PBI,0.31195533,1,-3.9524395,58.138046,0.013375373,0,0
1901651006537411782,20260601,AA,CLT,CLT-MKE,0.2730834,1,-2.4100814,67.905624,0.012759753,1,0
8047875941755249434,20260601,UA,SNA,SNA-EWR,0.11854199,0,-8.6777115,22.687271,0.014157354,0,0
4562262598632645389,20260601,UA,DEN,DEN-JAC,0.22709952,1,-0.45245034,55.439774,0.0067534577,1,0
8945169796504516367,20260601,DL,SLC,SLC-RNO,0.089354955,0,-10.591047,21.427017,0.0045212405,1,0
1069551383510254872,20260601,UA,DEN,DEN-BZN,0.22709952,1,-0.63214606,56.42334,0.0029839464,1,0
6912617335090108300,20260601,DL,JFK,JFK-ATL,0.19608329,0,-8.668264,50.32605,0.019179415,0,0
11819058121242444847,20260601,DL,GRR,GRR-MSP,0.11854199,0,-8.595161,23.37293,0.006412238,0,0
5127838734293429692,20260601,UA,EWR,EWR-IAH,0.22709952,1,-9.214124,60.873398,0.012203069,0,0
6325562976850231376,20260601,UA,SNA,SNA-SFO,0.16029368,0,-11.702395,42.58297,0.0061087143,1,0
9959579165174871045,20260601,OO,SJC,SJC-SEA,0.14197148,0,-12.717213,23.924698,0.0071229907,0,0
15135884669572982583,20260601,WN,LAS,LAS-SJC,0.054302808,0,-10.799083,6.6061897,0.002273827,0,0
13880128718856749329,20260601,WN,DAL,DAL-MIA,0.29376957,1,2.4288898,42.86724,0.007761692,0,0
13528674199259842154,20260601,WN,DEN,DEN-BOS,0.29376957,1,2.381797,58.45375,0.008091613,0,0
12550585419724446167,20260601,YX,PVD,PVD-DCA,0.24328545,1,-4.5540657,32.094196,0.02596752,1,0
1875006618685525999,20260601,OO,MSP,MSP-JAC,0.2226762,1,-4.888614,59.324623,0.0071180253,0,0
