dep_hour,flights,mean_delay_prob,observed_delay_rate
0,1985,0.133133821112458,0.2332493702770781
1,570,0.14764664464613847,0.15964912280701754
2,177,0.1581299725898915,0.12429378531073447
3,119,0.185351061720808,0.2773109243697479
4,25,0.16354194581508635,0.24
5,36066,0.08268712764824959,0.08143403759773749
6,83883,0.0954264193382368,0.09357080695730959
7,91608,0.11088487153736862,0.12781634791721247
8,80088,0.13682708389238052,0.1469633403256418
9,67361,0.15887668573326416,0.17116729264708067
10,76872,0.17222658903792093,0.1964824643563326
11,73593,0.18819398053374442,0.22238528120881063
12,69208,0.21152249399017972,0.26053346433938274
13,71818,0.22039639168674435,0.2837728703110641
14,65389,0.24645765646736098,0.32939791096361776
15,68716,0.262871096736059,0.34996216310611794
16,66718,0.2734941537117176,0.3807368326388681
17,75684,0.27836726672813916,0.389738914433698
18,70452,0.28412150444571505,0.4075256912507807
19,64071,0.28832009230088423,0.4152580730751822
20,56735,0.28725226900324513,0.41457654005464
21,43170,0.2730814973465824,0.38309010887190176
22,30753,0.2561492845199236,0.3627938737684128
23,12171,0.1985204063411629,0.26185194314353794
