route,origin_airport,dest_airport,completed_flights,mean_delay_prob,observed_delay_rate,mean_p90_min,mean_cancel_prob
DCA-HPN,DCA,HPN,187,0.39677676303501436,0.40641711229946526,92.70645100802662,0.020793978317102436
BDL-SJU,BDL,SJU,180,0.3744672414329317,0.4777777777777778,87.83848162757026,0.010904069531892166
DFW-SJU,DFW,SJU,148,0.3726382322005323,0.4797297297297297,77.6083285357501,0.017505923402495682
DEC-ORD,DEC,ORD,97,0.36328427232417865,0.38144329896907214,85.60704878187671,0.017337808012962343
DCA-TYS,DCA,TYS,168,0.35942312001827215,0.39880952380952384,72.68986806415376,0.016206115748112402
ORD-FSD,ORD,FSD,233,0.3587643891700859,0.36909871244635195,102.54356642956385,0.014642088128192747
DFW-BDL,DFW,BDL,114,0.35834219372063353,0.43859649122807015,67.38260486669708,0.015834009720936043
MCW-ORD,MCW,ORD,97,0.35782513437197383,0.32989690721649484,86.9526305051194,0.02742996687690417
ORD-EAU,ORD,EAU,98,0.3577471314644327,0.2755102040816326,85.47636479747538,0.017490484804979393
ORD-DLH,ORD,DLH,201,0.3547707960676791,0.2736318407960199,74.45595284836803,0.017447855947322625
PBI-ORD,PBI,ORD,203,0.3543782928600687,0.2955665024630542,87.70430545149178,0.010014035370074897
FLL-PIT,FLL,PIT,135,0.35280118532202864,0.4,74.82288714514839,0.008729489099372316
FCA-ORD,FCA,ORD,160,0.35193894021213057,0.34375,71.04364265203476,0.005332557037190506
MVY-DCA,MVY,DCA,117,0.3510366529226303,0.4358974358974359,71.38818248520549,0.013933873165828677
PHL-DCA,PHL,DCA,107,0.35088172471411877,0.48598130841121495,77.64687803749726,0.02008343579558035
ORD-SBN,ORD,SBN,403,0.34978099747863656,0.3325062034739454,99.15493216881386,0.010686233010474566
DCA-GSP,DCA,GSP,162,0.34959985720522607,0.47530864197530864,79.90385024930224,0.015658629084027362
ORD-HSV,ORD,HSV,118,0.3473806419109894,0.2796610169491525,86.43108086666818,0.010137455129980549
ORD-CMX,ORD,CMX,132,0.3468380473328359,0.3484848484848485,73.18112818400066,0.016574444659959733
ORD-MKE,ORD,MKE,837,0.3448629427874815,0.3321385902031063,90.6792157536624,0.014042024638720426
ROC-MCO,ROC,MCO,100,0.3444049699604511,0.42,73.86578094482422,0.007137411518040328
HPN-DCA,HPN,DCA,188,0.34250127008937775,0.44148936170212766,79.26386902180124,0.025184349521719916
FLL-SJU,FLL,SJU,399,0.3422007362421294,0.3333333333333333,73.1972655628558,0.010933781161102805
ORD-ROA,ORD,ROA,167,0.34068517172764873,0.38323353293413176,63.760907818457326,0.014607919044181948
SBN-ORD,SBN,ORD,408,0.3394394038135515,0.2696078431372549,98.01070927638634,0.013437461858261944
PHL-SJU,PHL,SJU,354,0.33912066454436146,0.3898305084745763,70.67557548264325,0.014406177845515617
DFW-SAV,DFW,SAV,180,0.3387520510289404,0.4444444444444444,68.0206776936849,0.013875942323655686
DFW-BUF,DFW,BUF,127,0.3383543435044176,0.4094488188976378,80.86626863855076,0.01258395049864283
EYW-ORD,EYW,ORD,114,0.337415320047161,0.2719298245614035,95.68326267443206,0.012098107784681145
DFW-EGE,DFW,EGE,162,0.33622339882968383,0.3333333333333333,99.4838601100592,0.007564439362543355
ORD-CAK,ORD,CAK,345,0.3344689262949902,0.26956521739130435,89.09243188388106,0.017268584231983443
DFW-VPS,DFW,VPS,250,0.33411527636647226,0.516,71.0720668182373,0.008715894563983266
MSY-BOS,MSY,BOS,120,0.33354847617447375,0.4083333333333333,77.19333006540934,0.01222896167519884
ORD-MBS,ORD,MBS,117,0.33300672153122407,0.29914529914529914,79.2580668457553,0.015023918440718143
MIA-RIC,MIA,RIC,103,0.33257327641098244,0.3786407766990291,65.52958268100775,0.010190021604872666
FLL-BDL,FLL,BDL,112,0.33181903085538317,0.4375,79.17029360362461,0.010048203487430924
PBI-DCA,PBI,DCA,230,0.3317051932863567,0.2782608695652174,77.71172032563582,0.009810973326430508
DFW-GRR,DFW,GRR,174,0.3316495406559144,0.39080459770114945,89.17679091705673,0.012972994937796842
OGG-SAN,OGG,SAN,183,0.3311721484680645,0.09836065573770492,57.653686252448075,0.007664544979883918
FLL-MSY,FLL,MSY,188,0.33063767683949874,0.4308510638297872,74.25124794371585,0.007661587021478529
PNS-DEN,PNS,DEN,154,0.33043123617187725,0.44155844155844154,66.23776393741757,0.006791674012258169
LGA-MSN,LGA,MSN,110,0.3303705092180859,0.3090909090909091,78.76711994517933,0.019901262901601244
DCA-ALB,DCA,ALB,205,0.33021838232511425,0.3902439024390244,85.45169529798554,0.015889855571542218
DFW-SMF,DFW,SMF,278,0.3291440499986676,0.4676258992805755,58.53534056299882,0.00814516258823288
ORD-LNK,ORD,LNK,285,0.32852310078185903,0.3684210526315789,97.12102475082665,0.019707440135635412
DFW-ANC,DFW,ANC,121,0.3282276490503106,0.4297520661157025,66.2440318588383,0.011910838296362122
PBI-BOS,PBI,BOS,233,0.3275236523522328,0.33476394849785407,85.41591088045308,0.013395753234624863
DCA-OKC,DCA,OKC,113,0.3274508925665796,0.5132743362831859,54.23041897326444,0.009457208138580123
ORD-FNT,ORD,FNT,228,0.3274156378026594,0.3508771929824561,95.74301455313699,0.01962383006714651
ORD-TUS,ORD,TUS,177,0.32731837985542533,0.3050847457627119,57.85741578657075,0.0066843238809334285
BET-ANC,BET,ANC,121,0.3268229441701873,0.19008264462809918,61.023673254596304,0.01301425021557399
MIA-CHS,MIA,CHS,151,0.32647073387310205,0.41721854304635764,57.85478764969781,0.008268142426937916
MCO-FLL,MCO,FLL,189,0.3248972002633665,0.3386243386243386,62.76401158489247,0.010270876632906342
ORD-ASE,ORD,ASE,188,0.324233445398351,0.4148936170212766,89.72585089663242,0.014639856253883669
DFW-FAT,DFW,FAT,283,0.3228491517869828,0.5017667844522968,49.25945359489522,0.011373615876858518
SFB-TYS,SFB,TYS,104,0.3227619401250894,0.5480769230769231,62.10581630926866,0.0038403380827870793
ILM-BOS,ILM,BOS,125,0.32266157400608064,0.464,89.85825408935547,0.013091855117240708
CRW-ORD,CRW,ORD,171,0.3226204057011688,0.3391812865497076,65.33765797308314,0.017030184392610358
DCA-PHL,DCA,PHL,111,0.32211080905016476,0.4594594594594595,71.89513290680206,0.0170997775082166
DFW-PDX,DFW,PDX,382,0.3214165726335261,0.36649214659685864,56.33324869765037,0.009676118954533929
TYS-DCA,TYS,DCA,167,0.32097467913955985,0.2874251497005988,85.78995820005497,0.019398628402915265
RSW-DCA,RSW,DCA,110,0.32079905257983643,0.3181818181818182,76.43762245178223,0.008735112620828052
DFW-BOI,DFW,BOI,176,0.32059091481972823,0.4715909090909091,59.749816786159165,0.0049587462215751246
DTW-SBN,DTW,SBN,122,0.3201522731878718,0.21311475409836064,96.5899224203141,0.006515069076501322
LAS-ANC,LAS,ANC,121,0.3196479951547197,0.39669421487603307,65.84360226717862,0.007276018587185345
ORD-CID,ORD,CID,419,0.3195216179889825,0.315035799522673,76.80279424025505,0.01336295139365669
RIC-EWR,RIC,EWR,106,0.3192049652900336,0.2169811320754717,69.75508124873323,0.019070729890391845
DFW-MCO,DFW,MCO,819,0.31910982402325844,0.4993894993894994,74.6741939260555,0.012901942708024836
JAC-DFW,JAC,DFW,190,0.3189901061748203,0.3736842105263158,73.20804180346038,0.015960316512395035
FLL-SEA,FLL,SEA,120,0.3181237106521924,0.13333333333333333,52.18574546178182,0.0069366096114342815
AVL-DCA,AVL,DCA,106,0.31778163434761875,0.4339622641509434,61.984539679761205,0.013788631820881908
ORD-LEX,ORD,LEX,208,0.317267073604923,0.3557692307692308,63.12096025393559,0.01143903584116035
MIA-ORF,MIA,ORF,120,0.31666024699807166,0.36666666666666664,67.25914551417033,0.009369757278667143
CMX-ORD,CMX,ORD,134,0.31637633558529527,0.3283582089552239,80.02158270309221,0.021464159414689574
DFW-TYS,DFW,TYS,333,0.3163542230207999,0.3993993993993994,60.61896192991698,0.013238041716859262
DCA-CHS,DCA,CHS,276,0.3163111875022667,0.37681159420289856,65.91679678101471,0.013648040213124596
ORD-SMF,ORD,SMF,268,0.316171011484381,0.3582089552238806,65.79928260063058,0.005681259009866513
MIA-IND,MIA,IND,123,0.3161637423242011,0.3821138211382114,70.50856094050214,0.0075472028610685206
DCA-SYR,DCA,SYR,160,0.3159264740534127,0.4125,65.52110029459,0.011478213483638975
JFK-SEA,JFK,SEA,521,0.31569100201358724,0.2744721689059501,53.84100566212367,0.010882486327583537
ORD-DAY,ORD,DAY,262,0.31543633660287346,0.3015267175572519,83.01796234655016,0.013647199328647646
DCA-ORF,DCA,ORF,158,0.3151921130999734,0.4240506329113924,69.15450979788092,0.021263207976485607
FLL-BOS,FLL,BOS,346,0.3150495714534914,0.37283236994219654,77.83527752705392,0.013222284924627825
CLT-PDX,CLT,PDX,117,0.3143849926881301,0.4700854700854701,55.54085724985497,0.008066899690996198
ORD-BOS,ORD,BOS,1477,0.31372347891270186,0.3256601218686527,75.78089858166818,0.011601611606173203
RIC-MCO,RIC,MCO,171,0.3135858973303036,0.36257309941520466,66.7320688035753,0.008469835000472482
DFW-MKE,DFW,MKE,172,0.3123480538122876,0.45348837209302323,73.88117191403411,0.01281931028028743
DFW-ORF,DFW,ORF,174,0.31233004823155786,0.5574712643678161,67.5022977850903,0.013863933663297858
DFW-MSN,DFW,MSN,178,0.31211285661445576,0.43820224719101125,79.64081102006891,0.013441585462315234
MIA-BOS,MIA,BOS,522,0.31202373596557714,0.3218390804597701,66.27996484895318,0.011310818797691647
DFW-SAN,DFW,SAN,762,0.3118449960911055,0.4763779527559055,64.52690962043022,0.01002555412233144
MCO-LGA,MCO,LGA,652,0.3114603945494064,0.3941717791411043,76.12239203204406,0.016122614175272023
ORD-FWA,ORD,FWA,509,0.31105500163989824,0.3182711198428291,91.89587150528763,0.015672024177618035
GEG-ORD,GEG,ORD,117,0.31076763328324014,0.4017094017094017,75.9752294100248,0.007422003891227431
CHS-BOS,CHS,BOS,195,0.3105251703506861,0.358974358974359,77.0807403173202,0.011949120757534452
GSP-DCA,GSP,DCA,155,0.3103373389090261,0.43870967741935485,76.676975816296,0.015209045092543137
DFW-PBI,DFW,PBI,173,0.30985710119580945,0.4797687861271676,68.18071484427921,0.012099047664778081
DFW-ORD,DFW,ORD,1304,0.30978904642804633,0.36809815950920244,66.79621086091352,0.01450280998466842
MSY-SEA,MSY,SEA,119,0.3093713637159652,0.31092436974789917,46.49379387222418,0.006209208383725202
GRR-DFW,GRR,DFW,173,0.3093135277659907,0.30057803468208094,60.60159138585791,0.01088620252282983
MCO-HPN,MCO,HPN,189,0.30929922379513897,0.31216931216931215,74.5930528792124,0.009348825594518804
DCA-DAY,DCA,DAY,144,0.3091930326902204,0.3611111111111111,88.79713728692796,0.017804229744528763
DCA-MHT,DCA,MHT,158,0.3088002248278147,0.46835443037974683,89.93458776836154,0.012496161138904947
CHS-DEN,CHS,DEN,117,0.3087641754720965,0.48717948717948717,46.28228647280962,0.004741587654403332
ACV-SFO,ACV,SFO,219,0.30868009209088537,0.6027397260273972,87.3866554678303,0.006908508016651263
DFW-OMA,DFW,OMA,266,0.30787313807951777,0.45112781954887216,69.73616359108372,0.010461042111908847
DFW-ILM,DFW,ILM,117,0.3078276962041855,0.4700854700854701,84.27889949439937,0.014859222606871246
DFW-TUS,DFW,TUS,303,0.3076033776644433,0.429042904290429,59.648665122859946,0.007072720391278777
DCA-CVG,DCA,CVG,157,0.3073163079987666,0.34394904458598724,71.62725621120185,0.01346362912973572
ORD-JAC,ORD,JAC,235,0.30686616041558856,0.25957446808510637,65.18792972970516,0.00687597720066971
DFW-LGA,DFW,LGA,979,0.30684236997207653,0.42288049029622066,76.23240573754471,0.021423180584146773
ORD-SEA,ORD,SEA,1168,0.30677188286073,0.3381849315068493,61.61034018209536,0.007410763008833057
DFW-BOS,DFW,BOS,635,0.30674005600176457,0.4094488188976378,73.22347498916265,0.015554370225739998
DFW-AVL,DFW,AVL,117,0.3065443952114154,0.4017094017094017,72.21880420456584,0.008658190153939418
ORD-OKC,ORD,OKC,465,0.30644090383924466,0.2752688172043011,64.0043106981503,0.010781816412339506
