route,origin,dest,distance_mi,scheduled_flights,carriers,on_time_pct,avg_arr_delay_min,p90_arr_delay_min,cancellation_rate_pct,log_flights,segment_id,segment,pc1,pc2
LNK-ORD,LNK,ORD,466.0,1585,1,75.23,17.83,71.0,3.344,3.2000292665537704,1,"Thin route - long delay tail, high average delay",1.9257040243252361,-0.7656912052566482
HLN-DEN,HLN,DEN,594.0,814,1,82.21,6.38,55.0,0.491,2.910624404889201,2,"Thin route - reliable, short delay tail",-0.6025632156650805,-0.810121617781798
SFO-OMA,SFO,OMA,1433.0,369,2,71.43,10.51,60.4,0.813,2.56702636615906,1,"Thin route - long delay tail, high average delay",0.5993721810114497,-1.4290505372703486
ASE-DEN,ASE,DEN,125.0,2725,1,76.26,13.9,86.0,4.991,3.4353665066126613,1,"Thin route - long delay tail, high average delay",2.504300356418671,-0.3098725480392981
DEN-BOI,DEN,BOI,649.0,3037,4,76.85,7.18,39.0,0.099,3.4824447919182653,0,"Trunk route - multi-carrier, unreliable",-0.001041760804106871,1.795629888118623
ASE-LAX,ASE,LAX,737.0,1235,1,72.58,20.07,96.6,6.802,3.0916669575956846,1,"Thin route - long delay tail, high average delay",3.669752170841376,-1.3831505880951303
LAX-BOI,LAX,BOI,674.0,1375,2,89.43,-7.27,16.9,0.073,3.1383026981662816,2,"Thin route - reliable, short delay tail",-2.9638570467879033,0.8076342315476529
DRO-DEN,DRO,DEN,251.0,2187,2,82.59,3.53,41.0,1.097,3.339848783037637,2,"Thin route - reliable, short delay tail",-0.6866323877039434,0.7142163486083606
XWA-DEN,XWA,DEN,582.0,1371,1,76.64,14.11,68.0,1.313,3.1370374547895126,1,"Thin route - long delay tail, high average delay",0.9740873309803232,-0.7185353359580113
DEN-BZN,DEN,BZN,524.0,2721,3,78.89,5.82,39.2,0.294,3.4347285417797577,0,"Trunk route - multi-carrier, unreliable",-0.3420709084015168,1.2875183896744966
