id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
3396,KBDL,large_airport,Bradley International Airport,41.938555,-72.688016,173,NA,US,US-CT,Hartford,yes,KBDL,BDL,KBDL,BDL,http://www.bradleyairport.com/,https://en.wikipedia.org/wiki/Bradley_International_Airport,"HFD, Hartford"
3400,KBFF,medium_airport,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,3967,NA,US,US-NE,Scottsbluff,yes,KBFF,BFF,KBFF,BFF,,https://en.wikipedia.org/wiki/Western_Nebraska_Regional_Airport,William B. Heilig Field
3402,KBFL,medium_airport,Meadows Field,35.433601,-119.056999,510,NA,US,US-CA,Bakersfield,yes,KBFL,BFL,KBFL,BFL,,https://en.wikipedia.org/wiki/Meadows_Field_Airport,
3404,KBGM,medium_airport,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,1636,NA,US,US-NY,Binghamton,yes,KBGM,BGM,KBGM,BGM,http://binghamtonairport.com/,https://en.wikipedia.org/wiki/Greater_Binghamton_Airport,"Broome County Airport, Edwin A Link Field"
3405,KBGR,medium_airport,Bangor International Airport,44.806364,-68.826668,192,NA,US,US-ME,Bangor,yes,KBGR,BGR,KBGR,BGR,https://flybangor.com,https://en.wikipedia.org/wiki/Bangor_International_Airport,
3406,KBHM,large_airport,Birmingham-Shuttlesworth International Airport,33.562877,-86.750712,650,NA,US,US-AL,Birmingham,yes,KBHM,BHM,KBHM,BHM,http://www.flybirmingham.com/,https://en.wikipedia.org/wiki/Birmingham_International_Airport_(US),
19377,KBIH,medium_airport,Eastern Sierra Regional Airport,37.3731,-118.363998,4124,NA,US,US-CA,Bishop,yes,KBIH,BIH,KBIH,BIH,http://www.inyocounty.us/Airport/index.html,https://en.wikipedia.org/wiki/Eastern_Sierra_Regional_Airport,
3408,KBIL,medium_airport,Billings Logan International Airport,45.808932,-108.541242,3652,NA,US,US-MT,Billings,yes,KBIL,BIL,KBIL,BIL,,https://en.wikipedia.org/wiki/Billings_Logan_International_Airport,
3409,KBIS,medium_airport,Bismarck Municipal Airport,46.772734,-100.746874,1661,NA,US,US-ND,Bismarck,yes,KBIS,BIS,KBIS,BIS,https://bismarckairport.com/,https://en.wikipedia.org/wiki/Bismarck_Municipal_Airport,Burleigh County Airport
19380,KBJI,medium_airport,Bemidji Regional Airport,47.50939941,-94.93370056,1391,NA,US,US-MN,Bemidji,no,KBJI,BJI,KBJI,BJI,http://www.bemidjiairport.org/,https://en.wikipedia.org/wiki/Bemidji_Regional_Airport,
