feature,gain,gain_share
crs_dep_min_of_day,29523.223773002625,0.15340632739742974
te_flight_delay,25489.815879821777,0.13244824041661393
arr_hour,17737.592804908752,0.09216672914833868
dest,16421.788056373596,0.08532964470265357
origin,16342.974301338196,0.08492011866981437
te_route_delay,16085.419125556946,0.08358183007631291
carrier_sched_day,15180.539737701416,0.07887996470091006
days_to_holiday,11664.490102767944,0.06061013530865192
te_carrier_origin_delay,11382.664856910706,0.05914573642500522
day_of_week,8520.093002319336,0.04427145851753369
dep_hour,6760.01646900177,0.0351258828517233
origin_sched_deps_day,3609.9045000076294,0.01875751089581311
dest_sched_arrs_hour,3004.575901031494,0.015612148521041659
carrier,2955.618175506592,0.015357758115432413
te_carrier_origin_cancel,1419.5545234680176,0.007376181126424771
sched_speed_mpm,1223.199637413025,0.006355896818456269
te_route_cancel,1157.6728973388672,0.006015411761052249
crs_elapsed_min,1088.2580995559692,0.005654723874228478
te_flight_cancel,796.1066637039185,0.004136668828392582
origin_sched_deps_hour,787.9310035705566,0.004094187085722749
is_weekend,669.020993232727,0.0034763159441098964
distance_mi,630.687201499939,0.0032771288143384346
